Episode,Reward,Length,Epsilon,Loss,Total Steps,Timestamp
0,10.350000000000033,222,0.9995,2.1595821446149137,222,2025-04-17 13:19:53
1,-6.449999999999999,41,0.9990002500000001,0.4471372260553081,263,2025-04-17 13:21:36
2,17.10000000000013,291,0.9985007498750001,0.3652759726924175,554,2025-04-17 13:23:04
3,8.45,196,0.9980014995000627,0.3473037626138147,750,2025-04-17 13:24:04
4,-8.85,13,0.9975024987503127,0.3484325580872022,763,2025-04-17 13:24:17
5,-8.299999999999999,18,0.9970037475009376,0.5143770923217138,781,2025-04-17 13:24:31
6,18.45000000000014,300,0.9965052456271871,0.4232128549863895,1081,2025-04-17 13:26:00
7,-0.750000000000016,102,0.9960069930043736,0.45153918336419496,1183,2025-04-17 13:26:37
8,-3.550000000000007,70,0.9955089895078715,0.41927200385502406,1253,2025-04-17 13:27:04
9,10.250000000000039,221,0.9950112350131176,0.40714060924778694,1474,2025-04-17 13:28:11
10,-8.55,17,0.9945137293956111,0.4391867308055653,1491,2025-04-17 13:28:25
11,0.3499999999999819,110,0.9940164725309134,0.4993851848623969,1601,2025-04-17 13:29:04
12,-6.799999999999999,38,0.993519464294648,0.49072412323010595,1639,2025-04-17 13:29:24
13,2.749999999999975,135,0.9930227045625007,0.48451600836382974,1774,2025-04-17 13:30:09
14,9.400000000000016,204,0.9925261932102195,0.4314300137590252,1978,2025-04-17 13:31:12
15,11.30000000000005,232,0.9920299301136144,0.3962388274677355,2210,2025-04-17 13:32:22
16,3.799999999999976,146,0.9915339151485576,0.33335744061392464,2356,2025-04-17 13:33:11
17,16.100000000000115,279,0.9910381481909833,0.30379345150510895,2635,2025-04-17 13:34:33
18,0.3499999999999819,111,0.990542629116888,0.2825400841397208,2746,2025-04-17 13:35:11
19,24.05000000000021,361,0.9900473578023296,0.22464808783496515,3107,2025-04-17 13:36:56
20,5.249999999999973,164,0.9895523341234285,0.20432114237692298,3271,2025-04-17 13:37:49
21,32.4500000000003,448,0.9890575579563669,0.26608016088305575,3719,2025-04-17 13:43:09
22,-7.8999999999999995,25,0.9885630291773887,0.22064172446727753,3744,2025-04-17 13:43:24
23,2.349999999999982,137,0.9880687476628001,0.22079354312515606,3881,2025-04-17 13:44:10
24,18.80000000000015,309,0.9875747132889687,0.2216991019166982,4190,2025-04-17 13:45:41
25,17.800000000000132,294,0.9870809259323243,0.19282358826524545,4484,2025-04-17 13:47:07
26,-8.299999999999999,21,0.9865873854693582,0.15487991308882124,4505,2025-04-17 13:47:21
27,8.499999999999996,191,0.9860940917766235,0.16377237727816815,4696,2025-04-17 13:48:20
28,-6.099999999999999,43,0.9856010447307353,0.1871396811722323,4739,2025-04-17 13:48:41
29,6.5999999999999766,183,0.98510824420837,0.16005790928796015,4922,2025-04-17 13:49:37
30,-0.6000000000000121,104,0.9846156900862658,0.15336733472605163,5026,2025-04-17 13:50:14
31,-2.5500000000000105,79,0.9841233822412228,0.2782293086093438,5105,2025-04-17 13:50:44
32,24.450000000000216,377,0.9836313205501022,0.252179602274686,5482,2025-04-17 13:52:33
33,39.000000000000355,522,0.9831395048898272,0.1952236631735303,6004,2025-04-17 13:55:00
34,-1.3500000000000139,91,0.9826479351373822,0.18254943516432912,6095,2025-04-17 13:55:36
35,-0.5500000000000149,102,0.9821566111698136,0.16968010658142613,6197,2025-04-17 13:56:12
36,-3.450000000000008,73,0.9816655328642288,0.1564356603544869,6270,2025-04-17 13:56:40
37,15.500000000000096,278,0.9811747000977967,0.1719509073325413,6548,2025-04-17 13:58:03
38,32.700000000000294,457,0.9806841127477479,0.15192290468251485,7005,2025-04-17 14:00:13
39,8.750000000000007,199,0.9801937706913741,0.15238307502551293,7204,2025-04-17 14:01:16
